Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,CompoundEncoded,lap_time_mean_3,lap_time_delta,tyre_ratio,stint_progress,is_raining
VER,1,Red Bull Racing,2.0,1.0,SOFT,2.0,0.0,84.16,17.382,36.172,30.606,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:21:02.223000,26.9,66.0,1014.2,0,32.5,295,1.8,0,0.0,0.0,0.3333333333333333,0.5,0
VER,1,Red Bull Racing,3.0,1.0,SOFT,3.0,0.0,115.663,24.332,48.071,43.26,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:23:02.237000,26.9,66.0,1014.2,0,32.5,265,2.2,0,0.0,31.503,0.5,1.0,0
VER,1,Red Bull Racing,5.0,2.0,SOFT,5.0,0.0,84.554,17.375,36.342,30.837,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:33:02.320000,26.8,65.0,1014.4,0,32.2,266,2.0,0,94.79233333333333,-31.108999999999995,0.8333333333333334,0.5,0
VER,1,Red Bull Racing,6.0,2.0,SOFT,6.0,0.0,106.259,20.889,45.173,40.197,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:34:02.350000,26.8,65.0,1014.5,0,32.1,260,2.2,0,102.15866666666666,21.705,1.0,1.0,0
VER,1,Red Bull Racing,8.0,3.0,SOFT,2.0,0.0,83.74,17.216,35.965,30.559,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:44:02.371000,26.8,66.0,1014.5,0,31.8,286,0.8,0,91.51766666666667,-22.519000000000005,0.3333333333333333,0.5,0
VER,1,Red Bull Racing,9.0,3.0,SOFT,3.0,0.0,110.588,21.895,46.87,41.823,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:46:02.369000,26.7,66.0,1014.5,0,31.9,258,1.7,0,100.19566666666667,26.848,0.5,1.0,0
VER,1,Red Bull Racing,11.0,4.0,SOFT,2.0,0.0,83.445,17.151,35.894,30.4,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:05:02.411000,26.4,68.0,1014.7,0,31.0,274,1.0,0,92.591,-27.143,0.3333333333333333,0.5,0
VER,1,Red Bull Racing,12.0,4.0,SOFT,3.0,0.0,102.65,19.458,43.34,39.852,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:07:02.425000,26.4,68.0,1014.7,0,30.8,259,1.2,0,98.89433333333334,19.205000000000013,0.5,1.0,0
VER,1,Red Bull Racing,14.0,5.0,SOFT,2.0,0.0,83.55,17.078,35.975,30.497,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:14:02.480000,26.3,68.0,1014.9,0,30.9,259,1.2,0,89.88166666666666,-19.10000000000001,0.3333333333333333,0.5,0
VER,1,Red Bull Racing,15.0,5.0,SOFT,3.0,0.0,115.411,22.145,49.324,43.942,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:15:02.479000,26.3,68.0,1014.9,0,30.7,284,0.8,0,100.53699999999999,31.861000000000004,0.5,1.0,0
