gp,driver,team,grid_pos,quali_pos,gap_to_pole_ms,final_position,dnf
Abu Dhabi Grand Prix,NOR,McLaren,1,1,0.0,1,0
Abu Dhabi Grand Prix,SAI,Ferrari,3,3,229.0,2,0
Abu Dhabi Grand Prix,LEC,Ferrari,14,14,1238.0,3,0
Abu Dhabi Grand Prix,HAM,Mercedes,18,18,1292.0,4,0
Abu Dhabi Grand Prix,RUS,Mercedes,7,7,537.0,5,0
Abu Dhabi Grand Prix,VER,Red Bull Racing,5,5,350.0,6,0
Abu Dhabi Grand Prix,GAS,Alpine,6,6,389.0,7,0
Abu Dhabi Grand Prix,HUL,Haas F1 Team,4,4,291.0,8,0
Abu Dhabi Grand Prix,ALO,Aston Martin,8,8,601.0,9,0
Abu Dhabi Grand Prix,PIA,McLaren,2,2,209.0,10,0
Abu Dhabi Grand Prix,ALB,Williams,16,16,1226.0,11,0
Abu Dhabi Grand Prix,STR,Aston Martin,13,13,1189.0,12,0
Abu Dhabi Grand Prix,TSU,RB,11,11,824.0,13,0
Abu Dhabi Grand Prix,ZHO,Kick Sauber,17,17,1285.0,14,0
Abu Dhabi Grand Prix,DOO,Alpine,20,20,1510.0,15,0
Abu Dhabi Grand Prix,MAG,Haas F1 Team,15,15,1282.0,16,0
Abu Dhabi Grand Prix,LAW,RB,12,12,877.0,17,0
Abu Dhabi Grand Prix,BOT,Kick Sauber,9,9,609.0,99,1
Abu Dhabi Grand Prix,COL,Williams,19,19,1317.0,99,1
Abu Dhabi Grand Prix,PER,Red Bull Racing,10,10,669.0,99,1
Australian Grand Prix,SAI,Ferrari,2,2,270.0,1,0
Australian Grand Prix,LEC,Ferrari,5,5,520.0,2,0
Australian Grand Prix,NOR,McLaren,4,4,400.0,3,0
Australian Grand Prix,PIA,McLaren,6,6,657.0,4,0
Australian Grand Prix,PER,Red Bull Racing,3,3,359.0,5,0
Australian Grand Prix,ALO,Aston Martin,10,10,1637.0,6,0
Australian Grand Prix,RUS,Mercedes,7,7,809.0,7,0
Australian Grand Prix,STR,Aston Martin,9,9,1157.0,8,0
Australian Grand Prix,TSU,RB,8,8,873.0,9,0
Australian Grand Prix,HUL,Haas F1 Team,16,16,2061.0,10,0
Australian Grand Prix,MAG,Haas F1 Team,14,14,1512.0,11,0
Australian Grand Prix,ALB,Williams,12,12,1252.0,12,0
Australian Grand Prix,RIC,RB,18,18,2170.0,13,0
Australian Grand Prix,GAS,Alpine,17,17,2067.0,14,0
Australian Grand Prix,BOT,Kick Sauber,13,13,1425.0,15,0
Australian Grand Prix,ZHO,Kick Sauber,19,19,2273.0,16,0
Australian Grand Prix,OCO,Alpine,15,15,1782.0,17,0
Australian Grand Prix,HAM,Mercedes,11,11,1045.0,99,1
Australian Grand Prix,VER,Red Bull Racing,1,1,0.0,99,1
Austrian Grand Prix,RUS,Mercedes,3,3,526.0000000000073,1,0
Austrian Grand Prix,PIA,McLaren,7,7,734.0000000000073,2,0
Austrian Grand Prix,SAI,Ferrari,4,4,537.0000000000073,3,0
Austrian Grand Prix,HAM,Mercedes,5,5,589.0000000000146,4,0
Austrian Grand Prix,VER,Red Bull Racing,1,1,0.0,5,0
Austrian Grand Prix,NOR,McLaren,2,2,404.0000000000073,6,0
