Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,CompoundEncoded,lap_time_prev,lap_time_mean_3_prev,lap_time_delta_prev,lap_time_std_5_prev,speed_mean_prev,speed_mean_delta_prev,speed_max_prev,speed_max_delta_prev,speed_std_prev,speed_std_delta_prev,throttle_mean_prev,throttle_mean_delta_prev,throttle_std_prev,throttle_std_delta_prev,brake_ratio_prev,brake_ratio_delta_prev,rpm_mean_prev,rpm_mean_delta_prev,gear_mean_prev,gear_mean_delta_prev,drs_ratio_prev,drs_ratio_delta_prev,degradation_score_prev,aggression_score_prev,efficiency_score_prev,drs_usage_intensity_prev,consistency_score_prev,tyre_ratio,stint_progress,LapNumber_pct,tyre_x_progress,compound_x_tyre,session_baseline,LapTimeResidual
HUL,27,Haas F1 Team,6.0,2.0,SOFT,3.0,,1,94.889,18.966,39.794,36.129,2023,Abu Dhabi Grand Prix,Q,196.5637393767705,303.0,66.0632620336204,61.45892351274787,43.34506284113012,0.1869688385269121,10043.606232294618,5.050991501416431,1.0,0.0,84.425,92.75566666666667,-24.363,13.887969410008552,224.4610591900312,53.89140744873765,328.0,30.0,68.37844514263695,5.941912784203197,75.23052959501558,32.76286790347329,38.73059759455246,-3.5814506357255453,0.146417445482866,-0.06005021620867629,10564.538940809967,1215.6334681731514,5.725856697819315,1.2183940112521503,1.0,0.0,-78.10799000325478,64.21546762939026,0.021244638862958347,328.0,13.887969410008552,0.5,1.0,0.3333333333333333,1.0,0.0,95.479,-0.5900000000000034
HUL,27,Haas F1 Team,9.0,3.0,SOFT,6.0,,1,97.021,18.989,40.593,37.439,2023,Abu Dhabi Grand Prix,Q,193.221635883905,299.0,65.72262909451038,59.58311345646438,43.10379167715308,0.1741424802110818,9866.477572559366,5.04221635883905,1.0,0.0,85.003,88.10566666666666,-9.885999999999996,10.536732875991492,221.5,24.936260623229487,326.0,23.0,69.44896907797617,3.385707044355769,75.15408805031447,13.695164537566598,38.41831227749206,-4.926750563638059,0.1289308176100629,-0.0580380209168492,10534.5786163522,490.97238405758253,5.69496855345912,0.6439770520426888,1.0,0.0,-34.69332980561942,65.46441003124878,0.021023999541535512,326.0,10.536732875991492,1.0,1.0,0.5,3.0,0.0,95.479,1.5420000000000016
PIA,81,McLaren,11.0,4.0,SOFT,2.0,,1,95.479,17.147,36.326,42.006,2023,Abu Dhabi Grand Prix,Q,198.2125340599455,325.0,82.873223053642,55.705722070844686,44.32616990845414,0.1716621253405994,9637.855585831065,5.163487738419619,1.0,0.0,105.112,99.97433333333333,20.83399999999999,13.086008837686142,178.04522613065328,-46.90584420573816,281.0,-43.0,61.32658551152912,-6.386885548233394,43.994974874371856,-29.11205876477188,39.334386093397406,-0.5229997722721862,0.1733668341708542,0.04186836322284199,9520.650753768845,-891.4654541822256,4.608040201005025,-1.1595438968543021,1.0,0.0,67.913211039909,36.367705360975734,0.01869898725913463,281.0,13.086008837686142,0.3333333333333333,1.0,0.6470588235294118,1.2941176470588236,0.0,95.479,0.0
VER,1,Red Bull Racing,1.0,1.0,SOFT,1.0,,12,95.378,38.678,19.495,37.205,2023,Australian Grand Prix,Q,200.82548476454292,311.0,63.18596902838491,65.27423822714681,41.5856495819676,0.1745152354570637,10389.709141274236,4.8310249307479225,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.125,1.0,0.043478260869565216,0.043478260869565216,0.0,92.295,3.0829999999999984
VER,1,Red Bull Racing,10.0,3.0,SOFT,1.0,,1,90.961,36.17,19.443,35.348,2023,Australian Grand Prix,Q,206.50294117647056,310.0,62.48551447613729,70.84705882352941,39.01055174777903,0.1529411764705882,10498.120588235292,4.958823529411765,1.0,0.0,77.384,88.27833333333332,-32.598,19.36323309006014,243.18666666666667,71.59372549019608,328.0,13.0,62.83730509759828,-2.5900018714746906,79.01333333333334,34.39686274509804,37.0321177904944,-3.324327204180406,0.1466666666666666,-0.043921568627450974,10734.526666666668,793.2066666666688,6.076666666666667,2.0860784313725493,1.0,0.0,-104.04505882352942,67.42471111111112,0.0226525138651791,328.0,19.36323309006014,0.125,0.3333333333333333,0.43478260869565216,0.43478260869565216,0.0,92.295,-1.3340000000000032
VER,1,Red Bull Racing,11.0,3.0,SOFT,2.0,,12,95.777,33.168,23.757,38.852,2023,Australian Grand Prix,Q,196.14824797843667,326.0,57.47810032692794,56.04582210242587,41.212770948514894,0.1913746630727762,10311.916442048518,4.714285714285714,1.0,0.0,90.961,92.77566666666667,13.576999999999998,17.895273864906343,206.50294117647056,-36.68372549019611,310.0,-18.0,62.48551447613729,-0.35179062146099227,70.84705882352941,-8.166274509803927,39.01055174777903,1.9784339572846363,0.1529411764705882,0.00627450980392158,10498.120588235292,-236.40607843137695,4.958823529411765,-1.1178431372549023,1.0,0.0,50.4136666666667,60.01162629757786,0.019668594092334346,310.0,17.895273864906343,0.25,0.6666666666666666,0.4782608695652174,0.9565217391304348,0.0,92.295,3.4819999999999993
VER,1,Red Bull Racing,14.0,4.0,SOFT,5.0,,1,92.833,36.507,19.658,36.668,2023,Australian Grand Prix,Q,201.0870786516854,315.0,63.91354857714735,64.01685393258427,40.56613098078784,0.148876404494382,10316.648876404495,4.862359550561798,1.0,0.0,77.219,87.98566666666666,-18.558000000000007,13.745407644009692,246.1056338028169,49.957385824380225,325.0,-1.0,61.561048185199695,4.082947858271758,80.92957746478874,24.883755362362862,35.31176600221789,-5.901004946297007,0.1267605633802817,-0.06461409969249451,10791.415492957747,479.4990509092295,6.172535211267606,1.4582494969818915,1.0,0.0,-68.38862526099994,70.67089863122396,0.022803572931694986,325.0,13.745407644009692,0.625,0.5,0.6086956521739131,3.0434782608695654,0.0,92.295,0.5379999999999967
VER,1,Red Bull Racing,22.0,6.0,SOFT,1.0,,1,89.362,34.994,19.307,35.061,2023,Australian Grand Prix,Q,212.0204678362573,311.0,63.47994480271587,73.36842105263158,39.52391083515007,0.1520467836257309,10500.441520467835,5.10233918128655,1.0,0.0,77.262,87.20833333333333,-29.522999999999996,24.190580104660572,245.37809187279152,70.82512029656414,329.0,17.0,62.84221330961461,8.848650459680726,81.11660777385158,34.628235680828325,34.46774378316111,-5.305144425544881,0.1130742049469964,-0.08072424466540672,10669.73144876325,683.5970818381866,6.15547703180212,1.997854292784032,1.0,0.0,-100.23504609161714,71.94441184182597,0.022995433166976675,329.0,24.190580104660572,0.125,0.5,0.9565217391304348,0.9565217391304348,0.0,92.295,-2.933000000000007
SAR,2,Williams,5.0,3.0,SOFT,1.0,,1,96.427,39.814,19.168,37.445,2023,Australian Grand Prix,Q,200.1081871345029,305.0,69.3742664662501,61.707602339181285,39.54739390051309,0.1608187134502924,10004.698830409356,5.280701754385965,1.0,0.0,102.386,94.776,15.219999999999999,10.762165209659253,180.77694235588973,-37.819980721033346,324.0,18.0,98.80948558657516,39.191405924428295,57.07017543859649,-14.132901484480428,41.73239812165387,3.081116183772494,0.1729323308270676,0.0313938692886061,9449.441102756891,-937.481974166185,4.7819548872180455,-0.9841989589358002,1.0,0.0,53.21291305186041,47.200896979290334,0.019128942277959207,324.0,10.762165209659253,0.14285714285714285,0.14285714285714285,0.45454545454545453,0.45454545454545453,0.0,92.295,4.132000000000005
NOR,4,McLaren,22.0,4.0,SOFT,5.0,,1,93.652,30.81,19.396,43.446,2023,Australian Grand Prix,Q,198.63636363636363,318.0,80.23500243019416,59.11730205278592,41.623286324657,0.1436950146627566,10040.653958944282,4.8885630498533725,1.0,0.0,109.301,90.98233333333333,31.116,14.417689239264389,171.16822429906543,-71.29279265008708,308.0,-9.0,55.75481386365351,-3.9655464361340833,38.12850467289719,-41.69183431015365,36.73163426901365,1.7121315410583122,0.1448598130841121,0.022825914779027415,10254.626168224298,-397.5229843180732,3.932242990654206,-2.318604466972913,1.0,0.0,102.55365246317119,32.60521661280461,0.016690177809855,308.0,14.417689239264389,0.625,0.8333333333333334,0.9565217391304348,4.782608695652174,0.0,92.295,1.3569999999999993
GAS,10,Alpine,2.0,2.0,SOFT,1.0,,1,95.291,38.358,18.961,37.972,2023,Australian Grand Prix,Q,202.02083333333331,305.0,66.52798432994176,64.70535714285714,40.222212262319104,0.1696428571428571,10216.184523809525,4.8273809523809526,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.14285714285714285,0.14285714285714285,0.08333333333333333,0.08333333333333333,0.0,92.295,2.995999999999995
GAS,10,Alpine,10.0,3.0,SOFT,1.0,,1,94.775,37.415,19.146,38.214,2023,Australian Grand Prix,Q,198.9915014164306,306.0,68.12578136549921,66.56940509915015,38.93243526724561,0.1388101983002833,10325.42776203966,4.651558073654391,1.0,0.0,78.312,92.49266666666666,-42.316,20.114872810932713,241.68904593639576,84.34848194507254,323.0,5.0,61.34845932167549,-17.333171199179574,79.67844522968198,34.99731724703556,36.58070541858967,-4.0813730001727535,0.127208480565371,-0.018127745031158188,10660.625441696113,1509.2588473360265,5.893992932862191,2.18466538405525,1.0,0.0,-126.53727346450717,69.542671278203,0.022669061791571105,323.0,20.114872810932713,0.14285714285714285,0.14285714285714285,0.4166666666666667,0.4166666666666667,0.0,92.295,2.480000000000004
GAS,10,Alpine,13.0,3.0,SOFT,4.0,,1,97.179,33.661,20.518,43.0,2023,Australian Grand Prix,Q,192.59065934065933,315.0,69.63873736443556,58.23076923076923,40.84913503387151,0.1758241758241758,10120.502747252747,4.516483516483516,1.0,0.0,78.548,91.58166666666666,-22.873999999999995,17.655727795817427,238.6159169550173,53.35344976341625,323.0,16.0,63.11547966662881,-25.622481018348203,76.66089965397924,18.89712012642019,38.39075265562776,-6.278580406372349,0.1349480968858131,0.0010898291692777173,10611.785467128027,1070.5439973117536,5.8166089965397925,1.4255328810542283,1.0,0.0,-76.09250166653044,66.31565714012045,0.02248381611916162,323.0,17.655727795817427,0.5714285714285714,0.5714285714285714,0.5416666666666666,2.1666666666666665,0.0,92.295,4.884
GAS,10,Alpine,18.0,4.0,SOFT,1.0,,1,92.65,36.767,19.082,36.801,2023,Australian Grand Prix,Q,205.5565476190476,297.0,64.00757710732351,67.95833333333333,37.93204515645371,0.1517857142857142,10528.86607142857,4.729166666666667,1.0,0.0,77.574,88.53333333333335,-32.665000000000006,14.839323815457368,239.85,69.9421658986175,328.0,12.0,63.81676558626638,-4.90115892143961,78.24285714285715,30.982488479262678,37.06651416162861,-3.1426266861433945,0.1178571428571428,-0.02269585253456219,10602.978571428572,1107.957834101382,5.814285714285714,1.7152073732718893,1.0,0.0,-102.48930875576036,69.02137755102042,0.022618868793855676,328.0,14.839323815457368,0.14285714285714285,0.14285714285714285,0.75,0.75,0.0,92.295,0.355000000000004
GAS,10,Alpine,21.0,4.0,SOFT,4.0,,1,95.439,35.441,21.98,38.018,2023,Australian Grand Prix,Q,195.2128279883382,316.0,60.24728436666706,60.0932944606414,39.04319899358665,0.1282798833819242,9983.586005830904,4.75801749271137,1.0,0.0,77.829,85.187,-7.253,13.551607716429817,244.5513698630137,22.466123961374365,325.0,15.0,63.01732237313187,-0.7185579932222339,80.56849315068493,7.748821019537388,35.46546794105928,-3.511291411521462,0.1164383561643835,-0.02454525039299349,10661.842465753423,105.419514933752,5.969178082191781,0.7101616887491575,1.0,0.0,-29.60268560520998,71.1872302495778,0.02293491352314882,325.0,13.551607716429817,0.5714285714285714,0.5714285714285714,0.875,3.5,0.0,92.295,3.1439999999999912
ALO,14,Aston Martin,5.0,2.0,SOFT,5.0,,1,92.355,32.584,20.685,39.086,2023,Australian Grand Prix,Q,204.5835866261398,308.0,64.58223986042584,66.01215805471125,41.34838420206144,0.182370820668693,10031.951367781156,5.458966565349544,1.0,0.0,79.077,89.158,-20.162000000000006,14.256686922283176,237.45486111111111,40.536828324225866,319.0,16.0,62.211323940754376,-7.977336521526375,77.41666666666667,14.736338797814213,36.91217564437775,-4.131589782787344,0.1215277777777777,-0.045138888888888895,10500.888888888889,701.7987249544603,6.340277777777778,1.072518214936248,1.0,0.0,-60.57730054644809,68.00839120370371,0.022610681147306834,319.0,14.256686922283176,0.5,0.2857142857142857,0.2,1.0,0.0,92.295,0.060000000000002274
ALO,14,Aston Martin,23.0,5.0,SOFT,1.0,,1,89.451,34.276,18.788,36.387,2023,Australian Grand Prix,Q,211.46745562130175,308.0,66.70187319165386,70.1775147928994,38.84448752417904,0.136094674556213,10215.227810650887,5.568047337278107,1.0,0.0,77.303,94.83033333333333,-8.778999999999996,20.402403431948887,241.93115942028984,20.83938726839108,318.0,1.0,61.37549679944048,-2.301823142158405,82.1086956521739,7.086543753439727,33.56376504670881,-4.009817573400589,0.0905797101449275,-0.03600256833608512,10640.753623188406,331.65235736562136,6.398550724637682,0.5219684461566692,1.0,0.0,-29.52780755824615,74.67131379962193,0.022734144012986852,318.0,20.402403431948887,0.1,0.3333333333333333,0.92,0.92,0.0,92.295,-2.8440000000000083
LEC,16,Ferrari,4.0,2.0,SOFT,4.0,,1,97.087,32.088,19.04,45.959,2023,Australian Grand Prix,Q,195.3098591549296,317.0,77.12045599599989,61.60281690140845,43.15217447051975,0.2197183098591549,9826.707042253522,5.002816901408451,1.0,0.0,106.324,106.324,,,182.1136363636364,,305.0,,66.61911168296173,,61.30050505050505,,40.42123893086781,,0.1868686868686868,,9402.65404040404,,4.906565656565657,,1.0,,0.1868686868686868,49.845360167329865,0.019366262899630414,305.0,,0.5,0.2,0.16666666666666666,0.6666666666666666,0.0,92.295,4.792000000000002
LEC,16,Ferrari,11.0,3.0,SOFT,2.0,,1,91.286,33.108,19.868,38.31,2023,Australian Grand Prix,Q,205.9,312.0,65.52417644743842,66.35588235294118,40.842670231126384,0.1852941176470588,10223.326470588236,5.238235294117647,1.0,0.0,132.063,115.783,-5.005000000000024,28.791595365661834,143.67469879518072,4.727429491979223,296.0,-16.0,97.38644319575263,36.27716088906326,48.31124497991968,15.32066117577655,44.04362107502775,10.681826382142468,0.1586345381526104,-0.0522882490413632,8633.09437751004,-617.6513852018234,3.5562248995983934,0.29445465477730126,1.0,0.0,-9.573794953826637,40.6474129449525,0.016640390122376055,296.0,28.791595365661834,0.25,0.5,0.4583333333333333,0.9166666666666666,0.0,92.295,-1.0090000000000003
LEC,16,Ferrari,20.0,5.0,SOFT,2.0,,1,93.723,30.829,19.256,43.638,2023,Australian Grand Prix,Q,199.29190751445088,316.0,72.31291738879284,60.95375722543353,40.39885419940704,0.2023121387283237,9902.34971098266,5.158959537572255,1.0,0.0,135.902,105.84233333333333,58.511999999999986,22.813214554288486,136.2420634920635,-107.12817872246939,300.0,-25.0,102.66468095801338,41.35690253852736,43.20039682539682,-37.86534711923986,43.41136075253744,9.97922848010483,0.1805555555555555,0.05252787389465591,8127.982142857143,-2599.8171651013345,3.5277777777777777,-2.6867550941945417,1.0,0.0,165.82073427802493,35.40032517636684,0.016760039707034914,300.0,22.813214554288486,0.25,0.6666666666666666,0.8333333333333334,1.6666666666666667,0.0,92.295,1.4279999999999973
LEC,16,Ferrari,23.0,6.0,SOFT,1.0,,1,91.464,35.108,19.007,37.349,2023,Australian Grand Prix,Q,206.0372492836676,309.0,67.3500572954409,71.12034383954155,38.424614415565486,0.1719197707736389,10170.126074498568,5.252148997134671,1.0,0.0,77.535,102.38666666666666,-16.188000000000002,24.17138100109301,240.5431654676259,41.25125795317501,322.0,6.0,62.60335806077145,-9.709559328021392,80.36330935251799,19.40955212708446,33.302806429555766,-7.096047769851275,0.1402877697841726,-0.062024368944151115,10654.25179856115,751.90208757849,6.179856115107913,1.0208965775356589,1.0,0.0,-57.29897018339084,69.08931991097771,0.02257508034677398,322.0,24.17138100109301,0.125,0.5,0.9583333333333334,0.9583333333333334,0.0,92.295,-0.8310000000000031
STR,18,Aston Martin,17.0,4.0,SOFT,3.0,,1,92.034,36.835,18.77,36.429,2023,Australian Grand Prix,Q,206.80736543909347,305.0,67.27134885978109,65.63172804532577,39.101562274280894,0.1331444759206798,10042.821529745042,5.509915014164306,1.0,0.0,107.68,99.03833333333334,-4.138999999999996,16.770312558208325,173.76426799007444,7.56332236359691,319.0,9.0,69.06771868842581,2.870112747734666,47.56327543424317,5.875332171831815,38.43833131937412,0.1254262722079531,0.1885856079404466,-0.028908481894068694,9385.719602977668,164.99147058995914,4.647642679900744,0.17246537493620462,1.0,0.0,-11.51373675565646,38.59352622083751,0.01851171392559257,319.0,16.770312558208325,0.375,0.3333333333333333,0.68,2.04,0.0,92.295,-0.2609999999999957
STR,18,Aston Martin,18.0,4.0,SOFT,4.0,,1,90.253,29.321,19.399,41.533,2023,Australian Grand Prix,Q,211.323782234957,307.0,66.53377010935077,68.0028653295129,39.624857124172976,0.1690544412607449,10126.9111747851,5.636103151862464,1.0,0.0,92.034,103.84433333333334,-15.646,13.919906817216837,206.80736543909347,33.04309744901903,305.0,-14.0,67.27134885978109,-1.7963698286447283,65.63172804532577,18.068452611082606,39.101562274280894,0.6632309549067728,0.1331444759206798,-0.0554411320197668,10042.821529745042,657.1019267673746,5.509915014164306,0.8622723342635616,1.0,0.0,-48.55595297309835,56.89322601096229,0.02059050579768149,305.0,13.919906817216837,0.5,0.6666666666666666,0.72,2.88,0.0,92.295,-2.0420000000000016
