year,gp,session_code,Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,PitOutTime,PitInTime,Deleted,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,is_sc,is_vsc,is_yellow,quali_position,grid_position,gap_to_pole_ms,CompoundEncoded,lap_time_prev,lap_time_mean_3_prev,lap_time_delta_prev,lap_time_std_5_prev,speed_mean_prev,speed_mean_delta_prev,speed_max_prev,speed_max_delta_prev,speed_std_prev,speed_std_delta_prev,throttle_mean_prev,throttle_mean_delta_prev,throttle_std_prev,throttle_std_delta_prev,brake_ratio_prev,brake_ratio_delta_prev,rpm_mean_prev,rpm_mean_delta_prev,gear_mean_prev,gear_mean_delta_prev,drs_ratio_prev,drs_ratio_delta_prev,degradation_score_prev,aggression_score_prev,efficiency_score_prev,drs_usage_intensity_prev,consistency_score_prev,tyre_ratio,stint_progress,LapNumber_pct,tyre_x_progress,compound_x_tyre,regulation_era,is_neutralized,laps_since_neutralization,temp_delta,session_baseline,LapTimeResidual,avg_residual_last_3_races
2022,Abu Dhabi Grand Prix,Q,VER,1,Red Bull Racing,2,1.0,SOFT,2.0,,1,84.754,,,False,221.0,329.0,69.66410091662519,71.09907120743034,41.94350051151561,0.1671826625386996,10369.47987616099,5.585139318885449,0.1950464396284829,28.9,34.2,69.0,1014.5,0.0,1.7,26.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,-0.762999999999991,
2022,Abu Dhabi Grand Prix,Q,RIC,3,McLaren,2,1.0,SOFT,2.0,,1,85.77,,,False,217.29357798165137,319.0,68.41487067285384,71.5474006116208,40.03836409059034,0.1223241590214067,10514.015290519876,5.409785932721713,0.1896024464831804,28.9,34.2,69.0,1014.5,0.0,1.7,26.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.2530000000000001,
2022,Abu Dhabi Grand Prix,Q,NOR,4,McLaren,2,1.0,SOFT,2.0,,1,85.582,,,False,216.8067484662577,321.0,67.33395132080042,72.17791411042944,40.777357253244766,0.1380368098159509,10450.840490797544,5.515337423312883,0.1901840490797546,28.9,34.4,69.0,1014.5,0.0,1.7,326.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,1.0,0.1,0.2,0.0,0,0,100,5.5,85.517,0.06499999999999773,
2022,Abu Dhabi Grand Prix,Q,VET,5,Aston Martin,2,1.0,SOFT,2.0,,1,86.285,,,False,216.96594427244585,315.0,67.6271433200029,70.78637770897832,40.03407942890965,0.1609907120743034,10288.934984520123,5.792569659442725,0.2105263157894736,28.9,34.2,69.0,1014.5,0.0,1.6,357.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,0.5,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.7680000000000007,
2022,Abu Dhabi Grand Prix,Q,LAT,6,Williams,2,1.0,SOFT,2.0,,1,86.841,,,False,215.20743034055727,328.0,72.4278416270651,69.28482972136223,41.05524968760888,0.2105263157894736,10246.777089783282,5.739938080495356,0.1888544891640866,28.9,34.2,69.0,1014.5,0.0,1.5,331.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,1.323999999999998,
2022,Abu Dhabi Grand Prix,Q,GAS,10,AlphaTauri,2,1.0,SOFT,2.0,,1,86.318,,,False,216.5679012345679,323.0,69.03970917710738,72.50617283950618,39.98169037813752,0.1358024691358024,10429.574074074077,5.404320987654321,0.1882716049382716,28.9,34.2,69.0,1014.5,0.0,1.6,357.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,1.0,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.8010000000000019,
2022,Abu Dhabi Grand Prix,Q,PER,11,Red Bull Racing,2,1.0,SOFT,2.0,,1,84.82,,,False,224.02153846153848,329.0,70.14246633848559,73.39076923076924,40.84551489906108,0.1538461538461538,10504.436923076924,5.516923076923077,0.2123076923076923,28.9,34.4,69.0,1014.5,0.0,1.7,326.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,1.0,0.1,0.2,0.0,0,0,100,5.5,85.517,-0.6970000000000027,
2022,Abu Dhabi Grand Prix,Q,ALO,14,Alpine,2,1.0,SOFT,2.0,,1,85.916,,,False,218.2628398791541,327.0,69.94192684000396,72.44108761329305,40.36994085794675,0.1510574018126888,10307.706948640483,5.377643504531722,0.2114803625377643,28.9,34.1,69.0,1014.7,0.0,2.2,324.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,1.0,0.1,0.2,0.0,0,0,100,5.200000000000003,85.517,0.3990000000000009,
2022,Abu Dhabi Grand Prix,Q,LEC,16,Ferrari,2,1.0,SOFT,2.0,,1,85.211,,,False,219.13761467889907,328.0,70.46808456854102,74.6788990825688,37.17630373666079,0.1620795107033639,10534.932721712536,5.602446483180428,0.1987767584097859,28.9,34.4,69.0,1014.5,0.0,1.7,326.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.2857142857142857,0.5,0.1,0.2,0.0,0,0,100,5.5,85.517,-0.3059999999999974,
2022,Abu Dhabi Grand Prix,Q,STR,18,Aston Martin,2,1.0,SOFT,2.0,,1,86.276,,,False,216.7546583850932,316.0,67.54197075243519,71.4223602484472,39.79012538182017,0.1490683229813664,10311.27950310559,5.751552795031056,0.2111801242236025,28.9,34.2,69.0,1014.5,0.0,1.6,357.0,0,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.4,0.5,0.1,0.2,0.0,0,0,100,5.300000000000004,85.517,0.7590000000000003,
