Driver,LapTime,Compound,TyreLife,Position
VER,84.238,MEDIUM,1.0,1.0
VER,79.367,MEDIUM,2.0,1.0
VER,79.074,MEDIUM,3.0,1.0
VER,78.129,MEDIUM,4.0,1.0
VER,78.019,MEDIUM,5.0,1.0
VER,77.64,MEDIUM,6.0,1.0
VER,77.633,MEDIUM,7.0,1.0
VER,77.397,MEDIUM,8.0,1.0
VER,77.031,MEDIUM,9.0,1.0
VER,77.084,MEDIUM,10.0,1.0
VER,76.858,MEDIUM,11.0,1.0
VER,76.993,MEDIUM,12.0,1.0
VER,77.434,MEDIUM,13.0,1.0
VER,77.065,MEDIUM,14.0,1.0
VER,77.079,MEDIUM,15.0,1.0
VER,76.824,MEDIUM,16.0,1.0
VER,76.86,MEDIUM,17.0,1.0
VER,76.712,MEDIUM,18.0,1.0
VER,76.823,MEDIUM,19.0,1.0
VER,77.214,MEDIUM,20.0,1.0
VER,76.803,MEDIUM,21.0,1.0
VER,76.659,MEDIUM,22.0,1.0
VER,76.604,MEDIUM,23.0,1.0
VER,76.798,MEDIUM,24.0,1.0
VER,77.183,MEDIUM,25.0,1.0
VER,77.212,MEDIUM,26.0,1.0
VER,77.259,MEDIUM,27.0,1.0
VER,77.77,MEDIUM,28.0,1.0
VER,78.001,MEDIUM,29.0,1.0
VER,78.16,MEDIUM,30.0,1.0
VER,78.741,MEDIUM,31.0,1.0
VER,78.816,MEDIUM,32.0,1.0
VER,78.946,MEDIUM,33.0,1.0
VER,78.044,MEDIUM,34.0,1.0
VER,78.024,MEDIUM,35.0,1.0
VER,77.974,MEDIUM,36.0,1.0
VER,77.273,MEDIUM,37.0,1.0
VER,77.122,MEDIUM,38.0,1.0
VER,76.966,MEDIUM,39.0,1.0
VER,77.161,MEDIUM,40.0,1.0
VER,76.944,MEDIUM,41.0,1.0
VER,76.8,MEDIUM,42.0,1.0
VER,76.963,MEDIUM,43.0,1.0
VER,76.722,MEDIUM,44.0,1.0
VER,76.701,MEDIUM,45.0,1.0
VER,77.075,MEDIUM,46.0,1.0
VER,77.16,MEDIUM,47.0,1.0
VER,77.065,MEDIUM,48.0,1.0
VER,77.428,MEDIUM,49.0,1.0
VER,77.314,MEDIUM,50.0,1.0
VER,77.427,MEDIUM,51.0,1.0
VER,84.046,MEDIUM,52.0,1.0
VER,89.919,MEDIUM,53.0,1.0
VER,98.946,MEDIUM,54.0,1.0
VER,130.567,MEDIUM,55.0,1.0
VER,106.131,INTERMEDIATE,1.0,1.0
VER,103.464,INTERMEDIATE,2.0,1.0
VER,102.808,INTERMEDIATE,3.0,1.0
VER,103.791,INTERMEDIATE,4.0,1.0
VER,101.54,INTERMEDIATE,5.0,1.0
VER,100.797,INTERMEDIATE,6.0,1.0
VER,99.272,INTERMEDIATE,7.0,1.0
VER,99.61,INTERMEDIATE,8.0,1.0
VER,98.364,INTERMEDIATE,9.0,1.0
VER,97.16,INTERMEDIATE,10.0,1.0
VER,94.035,INTERMEDIATE,11.0,1.0
VER,92.921,INTERMEDIATE,12.0,1.0
VER,93.659,INTERMEDIATE,13.0,1.0
VER,91.607,INTERMEDIATE,14.0,1.0
VER,91.244,INTERMEDIATE,15.0,1.0
VER,90.363,INTERMEDIATE,16.0,1.0
VER,90.402,INTERMEDIATE,17.0,1.0
VER,88.386,INTERMEDIATE,18.0,1.0
VER,86.864,INTERMEDIATE,19.0,1.0
VER,85.518,INTERMEDIATE,20.0,1.0
VER,85.316,INTERMEDIATE,21.0,1.0
VER,85.46,INTERMEDIATE,22.0,1.0
VER,85.201,INTERMEDIATE,23.0,1.0
GAS,89.701,HARD,1.0,7.0
GAS,80.636,HARD,2.0,7.0
GAS,80.282,HARD,3.0,7.0
GAS,79.577,HARD,4.0,7.0
GAS,78.893,HARD,5.0,7.0
GAS,78.842,HARD,6.0,7.0
GAS,78.604,HARD,7.0,7.0
GAS,79.317,HARD,8.0,7.0
GAS,78.788,HARD,9.0,7.0
GAS,78.31,HARD,10.0,7.0
GAS,78.367,HARD,11.0,7.0
GAS,78.582,HARD,12.0,7.0
GAS,77.713,HARD,13.0,7.0
GAS,78.564,HARD,14.0,7.0
GAS,78.284,HARD,15.0,7.0
GAS,78.298,HARD,16.0,7.0
GAS,77.99,HARD,17.0,7.0
GAS,78.453,HARD,18.0,7.0
GAS,78.109,HARD,19.0,7.0
GAS,78.587,HARD,20.0,7.0
GAS,77.81,HARD,21.0,7.0
GAS,78.213,HARD,22.0,7.0
GAS,77.942,HARD,23.0,7.0
GAS,77.577,HARD,24.0,7.0
GAS,77.54,HARD,25.0,7.0
GAS,77.912,HARD,26.0,7.0
GAS,78.012,HARD,27.0,7.0
GAS,77.285,HARD,28.0,7.0
GAS,77.373,HARD,29.0,7.0
