Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,2.0,97.167,,38.051,26.073,1,2023,Pre-Season Testing,R,0 days 01:02:12.512000,21.4,54.0,1001.2,False,29.6,236,3.7
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,2.0,93.433,29.616,38.0,25.817,1,2023,Pre-Season Testing,R,0 days 01:04:12.510000,21.4,55.0,1001.4,False,29.5,191,3.2
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,2.0,92.73,29.38,37.69,25.66,1,2023,Pre-Season Testing,R,0 days 01:06:12.507000,21.5,54.0,1001.2,False,29.4,238,3.4
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,2.0,92.78,29.407,37.65,25.723,1,2023,Pre-Season Testing,R,0 days 01:07:12.506000,21.4,55.0,1001.2,False,29.4,188,3.2
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,1.0,92.582,29.338,37.403,25.841,1,2023,Pre-Season Testing,R,0 days 01:09:12.504000,21.4,55.0,1001.2,False,29.3,221,3.4
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,1.0,93.027,29.667,37.543,25.817,1,2023,Pre-Season Testing,R,0 days 01:10:12.503000,21.5,55.0,1001.4,False,29.4,193,3.2
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,1.0,93.1,29.726,37.612,25.762,1,2023,Pre-Season Testing,R,0 days 01:12:12.517000,21.4,54.0,1001.2,False,29.3,198,4.0
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,1.0,92.884,29.625,37.578,25.681,1,2023,Pre-Season Testing,R,0 days 01:13:12.516000,21.4,55.0,1001.2,False,29.2,190,4.0
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,1.0,92.822,29.78,37.489,25.553,1,2023,Pre-Season Testing,R,0 days 01:15:12.513000,21.4,55.0,1001.2,False,29.1,185,3.4
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,1.0,92.594,29.66,37.373,25.561,1,2023,Pre-Season Testing,R,0 days 01:16:12.512000,21.3,55.0,1001.2,False,29.1,201,3.5
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,1.0,92.597,29.586,37.463,25.548000000000002,1,2023,Pre-Season Testing,R,0 days 01:18:12.510000,21.4,55.0,1001.2,False,29.2,203,3.2
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,1.0,92.687,29.742,37.389,25.556,1,2023,Pre-Season Testing,R,0 days 01:20:12.524000,21.3,55.0,1001.2,False,29.1,187,4.5
VER,1,Red Bull Racing,13.0,1.0,MEDIUM,13.0,1.0,92.678,29.703,37.319,25.656,1,2023,Pre-Season Testing,R,0 days 01:21:12.570000,21.4,56.0,1001.2,False,28.9,189,4.3
VER,1,Red Bull Racing,14.0,1.0,MEDIUM,14.0,1.0,93.046,30.031,37.422,25.593,1,2023,Pre-Season Testing,R,0 days 01:23:12.521000,21.4,58.0,1001.5,False,28.7,191,3.7
VER,1,Red Bull Racing,15.0,1.0,MEDIUM,15.0,1.0,92.99,29.96,37.469,25.561,1,2023,Pre-Season Testing,R,0 days 01:24:12.519000,21.1,60.0,1001.5,False,27.8,229,4.5
VER,1,Red Bull Racing,16.0,1.0,MEDIUM,16.0,1.0,92.808,29.914,37.373,25.521,1,2023,Pre-Season Testing,R,0 days 01:26:12.517000,20.7,63.0,1001.5,False,27.7,212,1.8
VER,1,Red Bull Racing,17.0,1.0,MEDIUM,17.0,1.0,92.603,29.803,37.276,25.524,1,2023,Pre-Season Testing,R,0 days 01:27:12.532000,20.5,63.0,1001.5,False,27.8,241,1.8
VER,1,Red Bull Racing,18.0,1.0,MEDIUM,18.0,1.0,92.507,29.877,37.283,25.347,1,2023,Pre-Season Testing,R,0 days 01:29:12.530000,20.1,64.0,1001.2,False,28.3,223,2.0
VER,1,Red Bull Racing,19.0,1.0,MEDIUM,19.0,1.0,92.338,29.799,37.24,25.299,1,2023,Pre-Season Testing,R,0 days 01:30:12.529000,20.1,64.0,1001.5,False,28.3,229,2.4
VER,1,Red Bull Racing,20.0,1.0,MEDIUM,20.0,1.0,92.295,29.772,37.273,25.25,1,2023,Pre-Season Testing,R,0 days 01:32:12.527000,20.2,64.0,1001.4,False,29.1,201,3.2
VER,1,Red Bull Racing,21.0,1.0,MEDIUM,21.0,1.0,92.494,29.903,37.239,25.352,1,2023,Pre-Season Testing,R,0 days 01:33:12.525000,20.3,64.0,1001.2,False,29.3,217,2.7
VER,1,Red Bull Racing,22.0,1.0,MEDIUM,22.0,1.0,92.184,29.664,37.134,25.386,1,2023,Pre-Season Testing,R,0 days 01:35:12.523000,20.2,64.0,1001.4,False,29.6,206,2.2
VER,1,Red Bull Racing,23.0,1.0,MEDIUM,23.0,1.0,92.272,29.759,37.172,25.341,1,2023,Pre-Season Testing,R,0 days 01:37:12.521000,20.2,64.0,1001.4,False,29.6,204,2.5
VER,1,Red Bull Racing,24.0,1.0,MEDIUM,24.0,1.0,92.35,29.872,37.108,25.37,1,2023,Pre-Season Testing,R,0 days 01:38:12.520000,20.2,63.0,1001.4,False,29.6,214,0.8
VER,1,Red Bull Racing,25.0,1.0,MEDIUM,25.0,1.0,92.295,29.912,37.183,25.2,1,2023,Pre-Season Testing,R,0 days 01:40:12.534000,20.4,62.0,1001.4,False,30.9,145,1.7
VER,1,Red Bull Racing,26.0,1.0,MEDIUM,26.0,1.0,92.276,29.752,37.242,25.282,1,2023,Pre-Season Testing,R,0 days 01:41:12.521000,20.5,62.0,1001.4,False,31.4,240,1.1
VER,1,Red Bull Racing,27.0,1.0,MEDIUM,27.0,1.0,92.138,29.668,37.223,25.247,1,2023,Pre-Season Testing,R,0 days 01:43:12.534000,20.6,61.0,1001.4,False,32.4,225,2.4
VER,1,Red Bull Racing,28.0,1.0,MEDIUM,28.0,1.0,92.215,29.826,37.244,25.145,1,2023,Pre-Season Testing,R,0 days 01:44:12.533000,20.8,62.0,1001.4,False,32.4,209,1.2
VER,1,Red Bull Racing,29.0,1.0,MEDIUM,29.0,1.0,92.251,29.871,37.266,25.114,1,2023,Pre-Season Testing,R,0 days 01:46:12.562000,20.9,61.0,1001.4,False,33.3,175,2.5
VER,1,Red Bull Racing,30.0,1.0,MEDIUM,30.0,1.0,92.363,29.844,37.229,25.29,1,2023,Pre-Season Testing,R,0 days 01:47:12.530000,21.0,61.0,1001.4,False,33.3,212,1.6
VER,1,Red Bull Racing,31.0,1.0,MEDIUM,31.0,1.0,92.388,29.905,37.23,25.253,1,2023,Pre-Season Testing,R,0 days 01:49:12.528000,21.1,62.0,1001.2,False,32.4,207,3.0
VER,1,Red Bull Racing,32.0,1.0,MEDIUM,32.0,1.0,92.21,29.879,37.136,25.195,1,2023,Pre-Season Testing,R,0 days 01:50:12.527000,21.0,62.0,1001.4,False,31.4,235,2.2
VER,1,Red Bull Racing,33.0,1.0,MEDIUM,33.0,1.0,118.611,38.163,50.088,30.36,1264,2023,Pre-Season Testing,R,0 days 01:52:12.556000,21.0,63.0,1001.2,False,30.6,179,1.3
VER,1,Red Bull Racing,35.0,2.0,SOFT,5.0,1.0,147.771,48.617,59.552,39.602,4,2023,Pre-Season Testing,R,0 days 01:57:12.613000,20.9,63.0,1001.2,False,30.1,238,1.1
VER,1,Red Bull Racing,36.0,2.0,SOFT,6.0,1.0,146.545,52.402,57.524,36.619,4,2023,Pre-Season Testing,R,0 days 01:59:12.627000,21.0,63.0,1001.2,False,30.1,236,1.3
VER,1,Red Bull Racing,37.0,2.0,SOFT,7.0,1.0,143.835,49.228,57.444,37.163,4,2023,Pre-Season Testing,R,0 days 02:02:12.639000,20.9,63.0,1001.2,False,29.7,246,0.8
VER,1,Red Bull Racing,38.0,2.0,SOFT,8.0,1.0,141.674,41.251,57.488,42.935,41,2023,Pre-Season Testing,R,0 days 02:04:12.637000,20.9,63.0,1001.2,False,29.4,199,1.8
VER,1,Red Bull Racing,39.0,2.0,SOFT,9.0,1.0,90.348,28.668,36.724,24.956,1,2023,Pre-Season Testing,R,0 days 02:07:12.634000,21.0,64.0,1001.2,False,29.3,201,1.2
VER,1,Red Bull Racing,40.0,2.0,SOFT,10.0,1.0,90.547,29.056,36.602,24.889,1,2023,Pre-Season Testing,R,0 days 02:08:12.633000,21.0,63.0,1001.0,False,29.5,218,1.1
VER,1,Red Bull Racing,41.0,2.0,SOFT,11.0,1.0,90.688,29.118,36.63,24.94,1,2023,Pre-Season Testing,R,0 days 02:10:12.646000,21.1,62.0,1001.0,False,29.7,192,2.4
VER,1,Red Bull Racing,42.0,2.0,SOFT,12.0,1.0,90.275,29.078,36.353,24.844,1,2023,Pre-Season Testing,R,0 days 02:11:12.645000,21.2,61.0,1001.0,False,29.9,192,1.0
VER,1,Red Bull Racing,43.0,2.0,SOFT,13.0,1.0,90.535,29.205,36.344,24.986,1,2023,Pre-Season Testing,R,0 days 02:13:12.674000,21.4,61.0,1001.0,False,30.7,177,1.7
VER,1,Red Bull Racing,44.0,2.0,SOFT,14.0,1.0,90.648,29.135,36.586,24.927,1,2023,Pre-Season Testing,R,0 days 02:14:12.673000,21.4,57.0,1001.0,False,31.1,220,2.0
VER,1,Red Bull Racing,45.0,2.0,SOFT,15.0,1.0,91.342,29.245,36.759,25.338,1,2023,Pre-Season Testing,R,0 days 02:16:12.702000,21.4,57.0,1001.0,False,30.4,212,2.0
