Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,PitInTime,PitOutTime,TrackStatus,IsPersonalBest,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,speed_mean,speed_max,throttle_mean,brake_mean,rpm_mean,gear_mean
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,1.0,84.238,,37.42,21.053,,,12,False,2023,Monaco,R,0 days 01:02:42.715000,25.2,44.0,1013.4,False,43.1,153,0.8,142.14067278287462,271.0,45.56880733944954,0.2691131498470948,9318.018348623853,3.3363914373088686
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1.0,79.367,20.954,37.366,21.047,,,1,True,2023,Monaco,R,0 days 01:03:42.714000,25.2,44.0,1013.4,False,43.1,48,1.0,147.5974025974026,265.0,44.52597402597402,0.24025974025974026,9234.675324675325,3.5194805194805197
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1.0,79.074,20.854,37.288,20.932,,,1,True,2023,Monaco,R,0 days 01:05:42.712000,25.3,45.0,1013.4,False,42.8,18,1.0,151.61666666666667,264.0,45.34,0.25666666666666665,9271.29,3.68
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1.0,78.129,20.835,36.637,20.657,,,1,True,2023,Monaco,R,0 days 01:06:42.711000,25.4,45.0,1013.5,False,42.8,115,1.0,151.86713286713288,265.0,44.54895104895105,0.2517482517482518,9263.178321678322,3.702797202797203
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1.0,78.019,20.745,36.734,20.54,,,1,True,2023,Monaco,R,0 days 01:07:42.710000,25.5,44.0,1013.5,False,42.4,161,1.3,150.02341137123747,266.0,45.69565217391305,0.24414715719063546,9298.070234113713,3.5953177257525084
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1.0,77.64,20.488,36.55,20.602,,,1,True,2023,Monaco,R,0 days 01:08:42.709000,25.4,44.0,1013.5,False,42.4,132,1.0,149.99653979238755,266.0,44.688581314878896,0.2664359861591695,9240.885813148789,3.6470588235294117
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1.0,77.633,20.483,36.479,20.671,,,1,True,2023,Monaco,R,0 days 01:10:42.722000,25.4,44.0,1013.5,False,41.4,50,0.6,151.46127946127947,265.0,45.4983164983165,0.24915824915824916,9217.949494949495,3.723905723905724
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,1.0,77.397,20.432,36.457,20.508,,,1,True,2023,Monaco,R,0 days 01:11:42.721000,25.4,44.0,1013.5,False,40.9,359,0.8,154.16095890410958,265.0,45.657534246575345,0.2602739726027397,9247.061643835616,3.7705479452054793
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,1.0,77.031,20.438,36.224,20.369,,,1,True,2023,Monaco,R,0 days 01:12:42.720000,25.4,44.0,1013.5,False,41.0,147,1.2,154.69611307420496,263.0,47.29681978798587,0.24381625441696114,9370.420494699647,3.756183745583039
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,1.0,77.084,20.452,36.232,20.4,,,1,False,2023,Monaco,R,0 days 01:14:42.718000,25.5,42.0,1013.5,False,40.9,137,2.2,154.7750865051903,267.0,46.97923875432526,0.25259515570934254,9334.61937716263,3.795847750865052
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,1.0,76.858,20.311,36.15,20.397,,,1,True,2023,Monaco,R,0 days 01:15:42.717000,25.4,43.0,1013.5,False,40.2,142,1.2,152.88698630136986,266.0,46.9486301369863,0.23972602739726026,9333.996575342466,3.702054794520548
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,1.0,76.993,20.386,36.053,20.554,,,12,False,2023,Monaco,R,0 days 01:16:42.700000,25.3,44.0,1013.5,False,40.0,1,0.6,152.32291666666666,267.0,45.53819444444444,0.25,9315.399305555555,3.7083333333333335
VER,1,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,1.0,77.434,20.811,36.267,20.356,,,21,False,2023,Monaco,R,0 days 01:17:42.715000,25.3,44.0,1013.5,False,40.0,0,1.7,152.5758620689655,266.0,45.672413793103445,0.24482758620689654,9359.472413793104,3.689655172413793
VER,1,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,1.0,77.065,20.338,36.223,20.504,,,12,False,2023,Monaco,R,0 days 01:19:42.713000,25.4,43.0,1013.5,False,40.1,146,1.2,153.29109589041096,267.0,46.49657534246575,0.2363013698630137,9308.287671232876,3.708904109589041
VER,1,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,1.0,77.079,20.271,36.248,20.56,,,21,False,2023,Monaco,R,0 days 01:20:42.712000,25.3,43.0,1013.5,False,39.9,148,0.8,152.72569444444446,268.0,46.25,0.23958333333333334,9308.295138888889,3.7152777777777777
