Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,2.0,1,97.167,,38.051,26.073,2023,Pre-Season Testing,R,211.92896174863387,304.0,74.688359897139,68.37158469945355,41.385639243148574,0.14754098360655737,10296.74863387978,5.251366120218579,1.0
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,2.0,1,93.433,29.616,38.0,25.817,2023,Pre-Season Testing,R,225.94301994301995,299.0,65.18538092896203,69.53846153846153,42.00038199721626,0.150997150997151,10293.854700854701,5.780626780626781,1.0
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,2.0,1,92.73,29.38,37.69,25.66,2023,Pre-Season Testing,R,226.82798833819243,318.0,69.36990540404351,69.52769679300292,41.65569985079885,0.15743440233236153,10311.075801749272,5.7317784256559765,0.282798833819242
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,2.0,1,92.78,29.407,37.65,25.723,2023,Pre-Season Testing,R,223.72268907563026,316.0,70.99227577500845,68.64985994397759,41.67002642797841,0.16526610644257703,10251.148459383754,5.663865546218488,0.2857142857142857
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,1.0,1,92.582,29.338,37.403,25.841,2023,Pre-Season Testing,R,226.31176470588235,321.0,68.56568783654872,72.20294117647059,40.51610252227316,0.13823529411764707,10339.141176470588,5.7,0.15294117647058825
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,1.0,1,93.027,29.667,37.543,25.817,2023,Pre-Season Testing,R,224.6908077994429,296.0,66.51380080397098,71.6016713091922,40.54385993223277,0.1392757660167131,10371.693593314763,5.6155988857938715,0.0
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,1.0,1,93.1,29.726,37.612,25.762,2023,Pre-Season Testing,R,225.7556818181818,296.0,66.76264434454106,70.8778409090909,41.25135747258196,0.16193181818181818,10379.46875,5.642045454545454,0.0
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,1.0,1,92.884,29.625,37.578,25.681,2023,Pre-Season Testing,R,224.4807121661721,297.0,68.20670885495535,71.24035608308606,40.93816225045106,0.14540059347181009,10333.557863501484,5.643916913946588,0.0
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,1.0,1,92.822,29.78,37.489,25.553,2023,Pre-Season Testing,R,225.4269340974212,296.0,66.83758378190458,71.69627507163324,41.08170318596528,0.15472779369627507,10361.819484240688,5.659025787965616,0.0
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,1.0,1,92.594,29.66,37.373,25.561,2023,Pre-Season Testing,R,224.25816023738872,297.0,67.59905738766213,70.51928783382789,41.21041118415952,0.14540059347181009,10313.305637982196,5.646884272997033,0.0
