lap,lap_time,tyre_life,compound,total_time,pit
1,95.83247375488281,2,1,95.83247375488281,0
1,84.73274230957031,3,1,180.56521606445312,0
2,78.25464630126953,4,1,258.81986236572266,0
3,78.50556182861328,5,1,337.32542419433594,0
4,80.4623031616211,6,1,417.78772735595703,0
5,80.40949249267578,7,1,498.1972198486328,0
6,79.47322845458984,8,1,577.6704483032227,0
7,79.83491516113281,9,1,657.5053634643555,0
8,79.85519409179688,10,1,737.3605575561523,0
9,79.67461395263672,11,1,817.0351715087891,0
10,79.45193481445312,12,1,896.4871063232422,0
11,79.40496826171875,13,1,975.8920745849609,0
12,79.18523406982422,14,1,1055.0773086547852,0
13,79.12956237792969,15,1,1134.2068710327148,0
14,79.18523406982422,16,1,1213.392105102539,0
15,79.20980834960938,17,1,1292.6019134521484,0
16,79.20980834960938,18,1,1371.8117218017578,0
17,79.33242797851562,19,1,1451.1441497802734,0
18,79.36254119873047,20,1,1530.506690979004,0
19,79.36254119873047,21,1,1609.8692321777344,0
20,79.33242797851562,1,2,1709.20166015625,1
21,91.52031707763672,2,2,1800.7219772338867,0
22,92.27436065673828,3,2,1892.996337890625,0
23,86.21647644042969,4,2,1979.2128143310547,0
24,81.84212493896484,5,2,2061.0549392700195,0
25,81.61076354980469,6,2,2142.665702819824,0
26,82.03355407714844,7,2,2224.6992568969727,0
27,81.2893295288086,8,2,2305.9885864257812,0
28,80.8075942993164,9,2,2386.7961807250977,0
29,80.95513916015625,10,2,2467.751319885254,0
30,81.30631256103516,11,2,2549.057632446289,0
31,81.33833312988281,12,2,2630.395965576172,0
32,81.30631256103516,13,2,2711.702278137207,0
33,81.12353515625,14,2,2792.825813293457,0
34,81.10667419433594,15,2,2873.932487487793,0
35,81.12353515625,16,2,2955.056022644043,0
36,81.1926498413086,17,2,3036.2486724853516,0
37,81.30257415771484,18,2,3117.5512466430664,0
38,81.30257415771484,19,2,3198.8538208007812,0
39,81.30257415771484,20,2,3280.156394958496,0
40,81.30257415771484,21,2,3361.458969116211,0
