feature,importance
Position,0.13961086
drs_usage_intensity_prev,0.0906714
drs_ratio_prev,0.07914342
speed_max_delta_prev,0.07503505
throttle_mean_delta_prev,0.06857653
CompoundEncoded,0.051933337
team_encoded,0.045387756
lap_time_prev,0.037328407
speed_mean_prev,0.037063785
lap_time_std_5_prev,0.03320613
consistency_score_prev,0.033065822
gear_mean_prev,0.031269614
speed_mean_delta_prev,0.029906932
lap_time_mean_3_prev,0.029750394
aggression_score_prev,0.027180884
stint_progress,0.023110975
lap_time_delta_prev,0.022462353
throttle_std_prev,0.021160169
TyreLife,0.020447725
efficiency_score_prev,0.019772843
speed_max_prev,0.017820502
speed_std_prev,0.01772005
brake_ratio_delta_prev,0.017516477
brake_ratio_prev,0.013540617
tyre_ratio,0.01016241
degradation_score_prev,0.0071557565
session_code_encoded,0.0
is_raining,0.0
TrackStatus,0.0
rpm_mean_prev,0.0
throttle_mean_prev,0.0
