feature,importance
LapNumber,0.21522532
Driver_te,0.08500972
LapNumber_pct,0.08254098
Position,0.07487293
compound_x_tyre,0.06681457
Team_te,0.05656863
gp_te,0.03798881
drs_ratio_prev,0.031805545
drs_usage_intensity_prev,0.03108646
TyreLife,0.028568445
Stint,0.024773953
stint_progress,0.02360274
speed_max_prev,0.021605961
speed_mean_prev,0.017797185
lap_time_prev,0.017708296
lap_time_delta_prev,0.017569672
efficiency_score_prev,0.01637938
consistency_score_prev,0.015312696
speed_std_prev,0.014976648
tyre_ratio,0.014892728
lap_time_std_5_prev,0.01463873
lap_time_mean_3_prev,0.014516657
throttle_mean_prev,0.014327796
tyre_x_progress,0.01029949
gear_mean_prev,0.009953714
aggression_score_prev,0.006680094
rpm_mean_prev,0.0058831745
degradation_score_prev,0.0055408357
brake_ratio_prev,0.005335187
throttle_std_prev,0.00530174
CompoundEncoded,0.004150735
speed_max_delta_prev,0.003131263
speed_mean_delta_prev,0.0029831873
throttle_mean_delta_prev,0.0021567375
brake_ratio_delta_prev,0.0
