gp,rmse,mae,n
Las Vegas Grand Prix,0.8514188254376927,0.6515643880105308,695
Belgian Grand Prix,0.8245138423703599,0.6331971079399343,678
Qatar Grand Prix,0.8179736775538214,0.6140734024018001,769
Singapore Grand Prix,0.8048661801145829,0.6163372874498334,911
Monaco Grand Prix,0.7099381369454275,0.5379748830694413,964
Dutch Grand Prix,0.6817608134699932,0.5147558880781313,757
Japanese Grand Prix,0.6617052746372165,0.502021748518678,706
Bahrain Grand Prix,0.6454905705963586,0.4772696000933164,912
Spanish Grand Prix,0.5937671893613922,0.43167346491478353,1201
Saudi Arabian Grand Prix,0.577780118681584,0.42872841263178946,813
Hungarian Grand Prix,0.575450772914675,0.4123017227314818,1156
United States Grand Prix,0.5744983626435434,0.4360792511177077,938
Australian Grand Prix,0.5662560411266622,0.42814849526604926,739
Mexico City Grand Prix,0.5629357975123283,0.40801691221936115,1121
São Paulo Grand Prix,0.5565741664312122,0.426912668689618,968
Azerbaijan Grand Prix,0.5528424148491052,0.4311068307401466,830
Italian Grand Prix,0.5397005761958735,0.41269394309083096,872
Abu Dhabi Grand Prix,0.5231341965515939,0.39192045929800295,1087
Austrian Grand Prix,0.49698630118258247,0.3391964158969118,1186
Miami Grand Prix,0.4874578007813832,0.3759224397256327,1069
Canadian Grand Prix,0.4688882249444729,0.3256275762722544,1136
British Grand Prix,0.3993021720427965,0.3056031282871404,811
