fold,test_gp,rmse,mae,r2,train_rows,test_rows
1,Abu Dhabi Grand Prix,2.419554027851073,1.3224633858124644,0.8314919728168069,26537,1330
2,Australian Grand Prix,8.988265955569949,4.957557649176372,0.024897762582997696,26806,1061
3,Austrian Grand Prix,6.642057363932258,3.3764635868091375,0.43321628380866106,26402,1465
4,Azerbaijan Grand Prix,8.474154244033102,3.576404804254347,-0.15210381470163692,26871,996
5,Bahrain Grand Prix,4.617310775928095,2.273602197302322,0.6874167374361717,26731,1136
6,Belgian Grand Prix,8.896755480250011,7.3030351910978615,-0.7905871091580143,26900,967
7,British Grand Prix,3.5465210464236576,1.6239846377820626,0.8355191084539215,26791,1076
8,Canadian Grand Prix,6.83123588357295,3.5291804009365344,-0.32845813032935967,26432,1435
9,Dutch Grand Prix,8.552420199575304,4.604884067556387,0.35840512268714153,26347,1520
10,Hungarian Grand Prix,5.145138479218878,2.2488793822414865,0.5709552868495642,26427,1440
11,Italian Grand Prix,5.842251903565453,3.0856848405913397,0.376169449879864,26691,1176
12,Japanese Grand Prix,3.5441422680878194,1.9055620462461398,0.8083889355521969,26982,885
13,Las Vegas Grand Prix,7.349275091059429,4.5089758203276,0.11930981847850664,26938,929
14,Mexico City Grand Prix,5.592058562519864,2.2016680762946956,0.3152912502556353,26613,1254
15,Miami Grand Prix,6.275188064413107,2.733517117133334,0.45799734421628013,26522,1345
16,Monaco Grand Prix,9.397284249799595,5.851962228481779,0.23417876547594252,26242,1625
17,Pre-Season Testing,3.639398205419598,1.6365687214548232,0.8267913720025118,26791,1076
18,Qatar Grand Prix,5.492520523217205,3.6106352325286353,0.5739064343080995,26726,1141
19,Saudi Arabian Grand Prix,6.6074772725543225,3.4795700783697705,0.36110054711728545,26798,1069
20,Singapore Grand Prix,7.300343458699944,3.060386675555547,0.3901649684850156,26875,992
21,Spanish Grand Prix,5.602978347928963,2.4895251341293894,0.5201216937931998,26369,1498
22,São Paulo Grand Prix,6.307098841651911,2.996302436826352,0.3201666517983329,26617,1250
23,United States Grand Prix,3.754305385838052,2.13255111317108,0.7103973839485356,26666,1201
