feature,importance
LapNumber_pct,0.23473859
Position,0.09140412
Driver_te,0.07838172
quali_position,0.054305676
LapNumber,0.04718238
TyreLife,0.03571408
Stint,0.033047326
grid_position,0.026763933
Rainfall,0.026292343
gp_te,0.023930972
compound_x_tyre,0.017962005
Team_te,0.01768383
CompoundEncoded,0.016382685
laps_since_neutralization,0.01520684
speed_mean_prev,0.014312532
lap_time_prev,0.013330006
stint_progress,0.01302057
AirTemp,0.012571482
gap_to_pole_ms,0.012344479
regulation_era,0.011896885
Humidity,0.0115551995
TrackTemp,0.010146983
Pressure,0.00993943
temp_delta,0.009552626
tyre_ratio,0.009495052
lap_time_mean_3_prev,0.009376469
lap_time_delta_prev,0.008810871
is_neutralized,0.008281214
is_sc,0.007970896
avg_residual_last_3_races,0.007950362
efficiency_score_prev,0.007771186
speed_std_prev,0.00647919
is_vsc,0.006475328
is_yellow,0.0062705684
aggression_score_prev,0.0060441494
throttle_mean_prev,0.0060191876
tyre_x_progress,0.0059172665
gear_mean_prev,0.0056952094
drs_usage_intensity_prev,0.0055772704
speed_max_prev,0.005524747
rpm_mean_prev,0.005467902
lap_time_std_5_prev,0.0052621798
consistency_score_prev,0.0049686977
throttle_std_prev,0.0047297743
brake_ratio_prev,0.004571489
drs_ratio_prev,0.0043111634
WindSpeed,0.0039571514
degradation_score_prev,0.0038300385
speed_max_delta_prev,0.0033432865
speed_mean_delta_prev,0.002866093
throttle_mean_delta_prev,0.0027782388
brake_ratio_delta_prev,0.0025883482
