feature,importance
lap_time_mean_3,0.3928027
TrackStatus,0.15791349
lap_time_delta,0.13623272
TrackTemp,0.09777598
speed_mean,0.07191996
AirTemp,0.05703628
Pressure,0.025030604
gear_mean,0.023840088
throttle_mean,0.015844585
Humidity,0.00846973
rpm_mean,0.0035229519
Rainfall,0.0016102679
speed_max,0.0014356514
stint_progress,0.0014138377
WindSpeed,0.0013586631
TyreLife,0.0012956786
brake_mean,0.000628711
tyre_ratio,0.0005675639
Position,0.00048745796
is_raining,0.00047940205
team_encoded,0.0003337359
CompoundEncoded,0.0
gp_encoded,0.0
session_code_encoded,0.0
