feature,importance
lap_time_mean_3,0.67077845
speed_mean,0.13781807
lap_time_delta,0.11217758
AirTemp,0.041068453
TrackTemp,0.029637339
gear_mean,0.0021606924
Humidity,0.0014549786
Pressure,0.0011421153
stint_progress,0.0008067657
TyreLife,0.0005669898
TrackStatus,0.00044508989
Rainfall,0.00036004302
WindSpeed,0.00031482652
speed_max,0.00028106093
brake_mean,0.00022813628
tyre_ratio,0.00022615073
throttle_mean,0.0002258771
Position,0.00021252056
rpm_mean,9.491766e-05
CompoundEncoded,0.0
is_raining,0.0
