feature,importance
session_code_encoded,0.4108362
lap_time_mean_3,0.20987274
Pressure,0.10707366
lap_time_delta,0.09346221
speed_mean,0.043598402
AirTemp,0.039055124
TrackStatus,0.02856975
gear_mean,0.014026367
Position,0.01324717
Humidity,0.008395408
TyreLife,0.00694064
brake_mean,0.0054638567
stint_progress,0.0047599454
TrackTemp,0.0047447975
gp_encoded,0.0026679495
throttle_mean,0.002413348
rpm_mean,0.0023918077
tyre_ratio,0.0006504916
speed_max,0.00058865955
Rainfall,0.00056957756
WindSpeed,0.00044364558
team_encoded,0.00022828145
CompoundEncoded,0.0
is_raining,0.0
