fold,test_gp,rmse,mae,r2,train_rows,test_rows
1,Abu Dhabi Grand Prix,1.674278938893957,1.136054944189106,0.9193126273673922,29079,1330
2,Australian Grand Prix,4.333714295944522,2.9607599014832777,0.889155618656114,29176,1233
3,Austrian Grand Prix,5.437102138833045,2.5243596737594225,0.7861356808102292,28807,1602
4,Azerbaijan Grand Prix,5.007126390694884,3.7640178404921727,0.7385801073382663,29268,1141
5,Bahrain Grand Prix,5.223838123180862,3.8513564864873566,0.6304737939154574,29197,1212
6,Belgian Grand Prix,10.68754717446083,8.79367993617903,-1.062789674657489,29366,1043
7,British Grand Prix,1.715458667059222,1.0062673189404279,0.9865049996851162,29171,1238
8,Canadian Grand Prix,5.120784551652986,3.0569640991831477,0.8066396735487077,28756,1653
9,Dutch Grand Prix,5.8497250945188695,3.337563876355925,0.8425516108242024,28715,1694
10,Hungarian Grand Prix,3.087092479674964,1.9618988009166014,0.847401659602766,28930,1479
11,Italian Grand Prix,2.5261723683704456,1.0075190432212173,0.8833641543386613,29233,1176
12,Japanese Grand Prix,5.51181288032096,2.9630146902013594,0.7112387515382464,29453,956
13,Las Vegas Grand Prix,4.958375085379573,3.2086852457598996,0.7815600370332582,29275,1134
14,Mexico City Grand Prix,4.895922414742131,2.576012710133432,0.7136083230634733,28983,1426
15,Miami Grand Prix,3.8746260054863617,2.615397330563289,0.7933632794556937,29064,1345
16,Monaco Grand Prix,7.342921638366168,5.091281666256588,0.6343760259803887,28567,1842
17,Pre-Season Testing,1.737242687226496,1.0215083300796353,0.9861600867930326,29171,1238
18,Qatar Grand Prix,4.239249387211429,2.6688917617786587,0.9076503461159539,29164,1245
19,Saudi Arabian Grand Prix,4.2950558354510635,2.602160769614044,0.8567548028644683,29248,1161
20,Singapore Grand Prix,3.6571133866146917,2.0190501537870995,0.9051935234929839,29166,1243
21,Spanish Grand Prix,3.795300399376753,1.819549745114578,0.7971175917467666,28892,1517
22,São Paulo Grand Prix,6.620724503392299,2.393461558232469,0.7163239448105695,29116,1293
23,United States Grand Prix,5.034256424651295,3.97250004969073,0.4766953103166871,29201,1208
