fold,test_gp,rmse,mae,r2,train_rows,test_rows
1,Abu Dhabi Grand Prix,1.820470266903475,1.1369043286243732,0.9046068640533754,29079,1330
2,Australian Grand Prix,3.919272364584566,2.137296394123751,0.9093424410714093,29176,1233
3,Austrian Grand Prix,3.479019971845098,2.66408963336909,0.9124376932229467,28807,1602
4,Azerbaijan Grand Prix,4.601527685329454,2.6979532694713586,0.7792170140965942,29268,1141
5,Bahrain Grand Prix,3.3405746172503714,1.9915210073575582,0.8488847910872621,29197,1212
6,Belgian Grand Prix,2.4339949973105504,1.5542474618118691,0.8930112232639508,29366,1043
7,British Grand Prix,1.2636834320242067,0.7885195557301942,0.9926770011620016,29171,1238
8,Canadian Grand Prix,3.579408723972135,2.007841081132434,0.9055249898823924,28756,1653
9,Dutch Grand Prix,3.8645105140647016,2.771737513396178,0.931284249506749,28715,1694
10,Hungarian Grand Prix,1.5760533305337925,1.0905718561926077,0.9602266337874696,28930,1479
11,Italian Grand Prix,3.4342753325630113,2.972211201550448,0.7844359658569884,29233,1176
12,Japanese Grand Prix,4.062763642665852,2.2947741323787407,0.8431107832759435,29453,956
13,Las Vegas Grand Prix,3.1695431968168464,2.164491321477762,0.9107420946362844,29275,1134
14,Mexico City Grand Prix,3.9003618436283713,2.2253610471953187,0.8182388185907743,28983,1426
15,Miami Grand Prix,3.502153525504323,1.7725718736474636,0.8311821815760799,29064,1345
16,Monaco Grand Prix,18.664197846804395,18.01959582265425,-1.362193861420467,28567,1842
17,Pre-Season Testing,1.291713963137708,0.8166050517468608,0.9923485262865863,29171,1238
18,Qatar Grand Prix,4.750817345078315,3.4282144450713985,0.8840170884486217,29164,1245
19,Saudi Arabian Grand Prix,4.191949172881218,2.118366018068274,0.8635497116226956,29248,1161
20,Singapore Grand Prix,4.592969998229801,3.4492336163144204,0.8504631003273874,29166,1243
21,Spanish Grand Prix,3.4156562605476215,2.023241210846647,0.8356762278630516,28892,1517
22,São Paulo Grand Prix,4.098814330382268,2.4344289010216005,0.8912753201806134,29116,1293
23,United States Grand Prix,2.4696276355145192,1.7555214377428965,0.874064864597444,29201,1208
