feature,importance
throttle_mean,0.39022893
lap_time_delta,0.13162945
TrackStatus,0.12783806
drs_ratio,0.099108234
Position,0.04245124
speed_mean,0.028236477
session_code_encoded,0.027339457
degradation_score,0.024162415
lap_time_mean_3,0.017494403
rpm_mean,0.011603396
efficiency_score,0.010044152
throttle_std,0.009652681
throttle_delta,0.009528016
speed_delta,0.0081891045
stint_progress,0.00751417
drs_usage_intensity,0.0074333767
consistency_score,0.0073177605
speed_std,0.0068817697
TyreLife,0.006467696
CompoundEncoded,0.005583707
speed_max,0.0049932147
tyre_ratio,0.0049366727
gear_mean,0.0046839784
aggression_score,0.0023560473
brake_ratio,0.0018191292
team_encoded,0.0012576078
brake_delta,0.0012487263
is_raining,0.0
