feature,importance
session_code_encoded,0.13123775
throttle_mean_delta_prev,0.10927554
TyreLife,0.07978332
speed_mean_delta_prev,0.057470426
Position,0.05180256
CompoundEncoded,0.04868883
degradation_score_prev,0.042288672
drs_ratio_prev,0.041352026
stint_progress,0.040963843
drs_usage_intensity_prev,0.034425855
throttle_mean_prev,0.032476094
tyre_ratio,0.02946096
consistency_score_prev,0.02786321
lap_time_prev,0.023703061
speed_std_prev,0.02353671
aggression_score_prev,0.02312831
speed_mean_prev,0.02235428
throttle_std_prev,0.020783989
efficiency_score_prev,0.019874003
lap_time_std_5_prev,0.018801609
lap_time_delta_prev,0.017148236
speed_max_prev,0.016212847
gear_mean_prev,0.015713712
rpm_mean_prev,0.014573269
brake_ratio_prev,0.0143619785
lap_time_mean_3_prev,0.013735181
speed_max_delta_prev,0.013499323
brake_ratio_delta_prev,0.010039572
team_encoded,0.0054448154
is_raining,0.0
TrackStatus,0.0
