feature,importance
throttle_mean,0.42358428
lap_time_delta,0.1300634
lap_time_mean_3,0.11069559
Pressure,0.09442886
TrackStatus,0.07011454
session_code_encoded,0.049024865
speed_mean,0.037374843
TrackTemp,0.025388964
gear_mean,0.011632569
Humidity,0.010444694
AirTemp,0.0060967915
Rainfall,0.0056821825
Position,0.004842032
TyreLife,0.004148085
WindSpeed,0.0038497983
speed_max,0.0033270419
CompoundEncoded,0.002341541
tyre_ratio,0.0022553597
rpm_mean,0.0022187706
is_raining,0.00183573
team_encoded,0.00064992777
