feature,importance
Sector2Time,0.25512323
lap_time_mean_3,0.23127057
Sector3Time,0.13607343
Pressure,0.114815116
Sector1Time,0.09175786
lap_time_delta,0.04370677
speed_mean,0.039288644
gear_mean,0.031836987
AirTemp,0.0164801
LapNumber,0.0070337853
TyreLife,0.005208401
Humidity,0.0035833877
tyre_ratio,0.0033253878
TrackStatus,0.0032343855
session_code_encoded,0.0031638553
Position,0.002666734
brake_mean,0.0026269509
rpm_mean,0.0020907735
TrackTemp,0.0019815464
throttle_mean,0.001973712
team_encoded,0.0010147179
speed_max,0.00090262614
WindSpeed,0.00043202055
Stint,0.00040898664
Rainfall,0.0
Compound,0.0
FreshTyre,0.0
is_raining,0.0
